#mean pdf cdf
#  x      p(x)     cdf(x) 
        0.82278          0.94095           0.70725  
         0.8253          0.91151           0.73267  
        0.82783          0.87675           0.75721  
        0.83035          0.83712           0.78073  
        0.83288          0.79319            0.8031  
         0.8354          0.74562           0.82422  
        0.83792          0.69514           0.84399  
        0.84045          0.64259           0.86235  
        0.84297          0.58887           0.87925  
         0.8455           0.5349           0.89467  
        0.84802          0.48163           0.90862  
        0.85054          0.42996           0.92113  
        0.85307          0.38065           0.93226  
        0.85559          0.33436           0.94207  
        0.85812          0.29154           0.95066  
        0.86064          0.25247           0.95813  
        0.86316          0.21728           0.96457  
        0.86569          0.18594           0.97011  
        0.86821          0.15831           0.97483  
        0.87074          0.13418           0.97884  
        0.87326          0.11327           0.98224  
        0.87578         0.095306            0.9851  
        0.87831         0.079964           0.98751  
        0.88083         0.066942           0.98952  
        0.88336         0.055948           0.99121  
        0.88588         0.046708           0.99262  
         0.8884         0.038971           0.99379  
        0.89093         0.032513           0.99478  
        0.89345         0.027135           0.99559  
        0.89598         0.022664           0.99628  
         0.8985         0.018951           0.99685  
        0.90102         0.015869           0.99733  
        0.90355          0.01331           0.99773  
        0.90607         0.011184           0.99806  
         0.9086        0.0094171           0.99835  
        0.91112        0.0079459           0.99858  
        0.91364        0.0067193           0.99879  
        0.91617        0.0056948           0.99896  
        0.91869        0.0048374            0.9991  
        0.92122        0.0041184           0.99922  
        0.92374        0.0035141           0.99933  
        0.92626        0.0030052           0.99942  
        0.92879        0.0025757           0.99949  
        0.93131        0.0022124           0.99956  
        0.93384        0.0019044           0.99962  
        0.93636        0.0016427           0.99966  
        0.93888        0.0014198           0.99971  
        0.94141        0.0012297           0.99974  
        0.94393         0.001067           0.99977  
        0.94646       0.00092771            0.9998  
        0.94898       0.00080807           0.99983  
         0.9515       0.00070514           0.99985  
        0.95403        0.0006164           0.99986  
        0.95655       0.00053977           0.99988  
        0.95908       0.00047345           0.99989  
         0.9616       0.00041597           0.99991  
        0.96412       0.00036605           0.99992  
        0.96665       0.00032262           0.99993  
        0.96917       0.00028477           0.99994  
         0.9717       0.00025174           0.99994  
        0.97422       0.00022285           0.99995  
        0.97674       0.00019756           0.99995  
        0.97927       0.00017538           0.99996  
        0.98179        0.0001559           0.99996  
        0.98432       0.00013876           0.99997  
        0.98684       0.00012366           0.99997  
        0.98936       0.00011034           0.99998  
        0.99189       9.8575e-05           0.99998  
        0.99441       8.8167e-05           0.99998  
        0.99694       7.8949e-05           0.99998  
        0.99946       7.0773e-05           0.99999  
          1.002       6.3513e-05           0.99999  
         1.0045       5.7059e-05           0.99999  
          1.007       5.1313e-05           0.99999  
         1.0096       4.6193e-05           0.99999  
         1.0121       4.1625e-05           0.99999  
         1.0146       3.7545e-05           0.99999  
         1.0171       3.3896e-05           0.99999  
         1.0197       3.0631e-05                 1  
         1.0222       2.7704e-05                 1  
         1.0247       2.5079e-05                 1  
         1.0272       2.2723e-05                 1  
         1.0297       2.0605e-05                 1  
         1.0323       1.8699e-05                 1  
         1.0348       1.6984e-05                 1  
         1.0373       1.5437e-05                 1  
