#t pdf cdf
#  x      p(x)     cdf(x) 
        0.46505       4.9556e-12        1.2785e-14  
        0.46616       5.4432e-12        1.4115e-14  
        0.46728       5.9772e-12        1.5578e-14  
         0.4684       6.5619e-12        1.7189e-14  
        0.46952       7.2019e-12        1.8961e-14  
        0.47065       7.9022e-12         2.091e-14  
        0.47178       8.6683e-12        2.3054e-14  
        0.47291       9.5063e-12        2.5411e-14  
        0.47404       1.0422e-11        2.8002e-14  
        0.47518       1.1424e-11        3.0849e-14  
        0.47632       1.2519e-11        3.3976e-14  
        0.47746       1.3714e-11        3.7411e-14  
        0.47861       1.5021e-11        4.1182e-14  
        0.47976       1.6447e-11        4.5322e-14  
        0.48091       1.8004e-11        4.9866e-14  
        0.48206       1.9704e-11        5.4851e-14  
        0.48322       2.1558e-11        6.0318e-14  
        0.48438       2.3581e-11        6.6314e-14  
        0.48554       2.5787e-11        7.2888e-14  
         0.4867       2.8193e-11        8.0092e-14  
        0.48787       3.0815e-11        8.7987e-14  
        0.48904       3.3672e-11        9.6635e-14  
        0.49021       3.6785e-11        1.0611e-13  
        0.49139       4.0176e-11        1.1648e-13  
        0.49257       4.3868e-11        1.2783e-13  
        0.49375       4.7888e-11        1.4025e-13  
        0.49493       5.2263e-11        1.5385e-13  
        0.49612       5.7023e-11        1.6872e-13  
        0.49731       6.2202e-11        1.8498e-13  
         0.4985       6.7834e-11        2.0275e-13  
         0.4997       7.3958e-11        2.2218e-13  
         0.5009       8.0614e-11        2.4341e-13  
         0.5021       8.7848e-11        2.6661e-13  
         0.5033       9.5708e-11        2.9194e-13  
        0.50451       1.0424e-10        3.1961e-13  
        0.50572       1.1352e-10        3.4981e-13  
        0.50693       1.2358e-10        3.8277e-13  
        0.50815       1.3451e-10        4.1873e-13  
        0.50937       1.4636e-10        4.5797e-13  
        0.51059       1.5922e-10        5.0075e-13  
        0.51181       1.7317e-10        5.4741e-13  
        0.51304        1.883e-10        5.9826e-13  
        0.51427        2.047e-10        6.5369e-13  
        0.51551       2.2247e-10        7.1408e-13  
        0.51674       2.4173e-10        7.7986e-13  
        0.51798        2.626e-10        8.5149e-13  
        0.51922       2.8519e-10        9.2949e-13  
        0.52047       3.0966e-10        1.0144e-12  
        0.52172       3.3615e-10        1.1068e-12  
        0.52297       3.6481e-10        1.2073e-12  
        0.52422       3.9583e-10        1.3167e-12  
        0.52548       4.2938e-10        1.4356e-12  
        0.52674       4.6567e-10        1.5649e-12  
          0.528       5.0491e-10        1.7054e-12  
        0.52927       5.4732e-10        1.8581e-12  
        0.53054       5.9316e-10        2.0241e-12  
        0.53181       6.4269e-10        2.2043e-12  
        0.53309       6.9619e-10           2.4e-12  
        0.53437       7.5398e-10        2.6125e-12  
        0.53565       8.1637e-10        2.8432e-12  
        0.53693       8.8371e-10        3.0935e-12  
        0.53822        9.564e-10        3.3651e-12  
        0.53951       1.0348e-09        3.6597e-12  
        0.54081       1.1194e-09        3.9792e-12  
         0.5421       1.2107e-09        4.3256e-12  
         0.5434       1.3091e-09        4.7011e-12  
        0.54471       1.4151e-09         5.108e-12  
        0.54601       1.5294e-09        5.5489e-12  
        0.54732       1.6526e-09        6.0265e-12  
        0.54864       1.7852e-09        6.5437e-12  
        0.54995       1.9281e-09        7.1037e-12  
        0.55127        2.082e-09          7.71e-12  
        0.55259       2.2476e-09        8.3661e-12  
        0.55392       2.4259e-09         9.076e-12  
        0.55525       2.6177e-09         9.844e-12  
        0.55658       2.8241e-09        1.0675e-11  
        0.55791       3.0461e-09        1.1573e-11  
        0.55925       3.2847e-09        1.2544e-11  
        0.56059       3.5413e-09        1.3593e-11  
        0.56194       3.8171e-09        1.4727e-11  
        0.56328       4.1135e-09        1.5952e-11  
        0.56464        4.432e-09        1.7275e-11  
        0.56599        4.774e-09        1.8704e-11  
        0.56735       5.1413e-09        2.0247e-11  
        0.56871       5.5357e-09        2.1912e-11  
        0.57007        5.959e-09        2.3709e-11  
        0.57144       6.4133e-09        2.5648e-11  
        0.57281       6.9007e-09        2.7739e-11  
        0.57418       7.4236e-09        2.9995e-11  
        0.57556       7.9845e-09        3.2426e-11  
        0.57694       8.5858e-09        3.5048e-11  
        0.57833       9.2304e-09        3.7874e-11  
        0.57971       9.9214e-09        4.0918e-11  
         0.5811       1.0662e-08        4.4198e-11  
         0.5825       1.1455e-08        4.7731e-11  
        0.58389       1.2305e-08        5.1536e-11  
        0.58529       1.3214e-08        5.5632e-11  
         0.5867       1.4188e-08        6.0041e-11  
        0.58811       1.5231e-08        6.4785e-11  
        0.58952       1.6347e-08         6.989e-11  
        0.59093       1.7541e-08        7.5382e-11  
        0.59235       1.8818e-08        8.1288e-11  
        0.59377       2.0184e-08        8.7639e-11  
        0.59519       2.1645e-08        9.4466e-11  
        0.59662       2.3207e-08         1.018e-10  
        0.59805       2.4876e-08        1.0969e-10  
        0.59949        2.666e-08        1.1816e-10  
        0.60092       2.8566e-08        1.2726e-10  
        0.60236       3.0601e-08        1.3704e-10  
        0.60381       3.2775e-08        1.4753e-10  
        0.60526       3.5097e-08         1.588e-10  
        0.60671       3.7575e-08        1.7089e-10  
        0.60816        4.022e-08        1.8386e-10  
        0.60962       4.3042e-08        1.9778e-10  
        0.61109       4.6053e-08        2.1271e-10  
        0.61255       4.9265e-08        2.2872e-10  
        0.61402        5.269e-08        2.4589e-10  
        0.61549       5.6342e-08        2.6429e-10  
        0.61697       6.0235e-08        2.8402e-10  
        0.61845       6.4384e-08        3.0515e-10  
        0.61993       6.8805e-08         3.278e-10  
        0.62142       7.3515e-08        3.5205e-10  
        0.62291       7.8532e-08        3.7802e-10  
         0.6244       8.3875e-08        4.0583e-10  
         0.6259       8.9563e-08         4.356e-10  
         0.6274       9.5618e-08        4.6746e-10  
        0.62891       1.0206e-07        5.0155e-10  
        0.63042       1.0892e-07        5.3803e-10  
        0.63193       1.1622e-07        5.7704e-10  
        0.63344       1.2398e-07        6.1877e-10  
        0.63496       1.3223e-07        6.6338e-10  
        0.63649         1.41e-07        7.1107e-10  
        0.63801       1.5033e-07        7.6204e-10  
        0.63954       1.6025e-07        8.1651e-10  
        0.64108       1.7078e-07        8.7471e-10  
        0.64261       1.8197e-07        9.3687e-10  
        0.64416       1.9386e-07        1.0033e-09  
         0.6457       2.0649e-07        1.0742e-09  
        0.64725       2.1989e-07        1.1498e-09  
         0.6488       2.3412e-07        1.2306e-09  
        0.65036       2.4923e-07        1.3168e-09  
        0.65192       2.6526e-07        1.4088e-09  
        0.65348       2.8227e-07        1.5069e-09  
        0.65505       3.0031e-07        1.6116e-09  
        0.65662       3.1944e-07        1.7232e-09  
        0.65819       3.3973e-07        1.8421e-09  
        0.65977       3.6124e-07         1.969e-09  
        0.66136       3.8404e-07        2.1041e-09  
        0.66294        4.082e-07        2.2482e-09  
        0.66453        4.338e-07        2.4016e-09  
        0.66613       4.6092e-07         2.565e-09  
        0.66772       4.8965e-07        2.7391e-09  
        0.66933       5.2007e-07        2.9244e-09  
        0.67093       5.5228e-07        3.1217e-09  
        0.67254       5.8638e-07        3.3317e-09  
        0.67415       6.2246e-07        3.5552e-09  
        0.67577       6.6065e-07         3.793e-09  
        0.67739       7.0105e-07         4.046e-09  
        0.67902       7.4379e-07         4.315e-09  
        0.68064       7.8899e-07        4.6011e-09  
        0.68228       8.3678e-07        4.9053e-09  
        0.68391       8.8731e-07        5.2286e-09  
        0.68555       9.4072e-07        5.5723e-09  
         0.6872       9.9717e-07        5.9375e-09  
        0.68885       1.0568e-06        6.3255e-09  
         0.6905       1.1198e-06        6.7377e-09  
        0.69215       1.1864e-06        7.1754e-09  
        0.69381       1.2567e-06        7.6402e-09  
        0.69548       1.3309e-06        8.1337e-09  
        0.69715       1.4092e-06        8.6576e-09  
        0.69882       1.4919e-06        9.2135e-09  
         0.7005       1.5792e-06        9.8035e-09  
        0.70218       1.6713e-06        1.0429e-08  
        0.70386       1.7684e-06        1.1093e-08  
        0.70555       1.8708e-06        1.1797e-08  
        0.70724       1.9789e-06        1.2544e-08  
        0.70894       2.0928e-06        1.3336e-08  
        0.71064       2.2129e-06        1.4175e-08  
        0.71234       2.3395e-06        1.5064e-08  
        0.71405       2.4729e-06        1.6006e-08  
        0.71576       2.6134e-06        1.7005e-08  
        0.71748       2.7614e-06        1.8062e-08  
         0.7192       2.9174e-06        1.9182e-08  
        0.72092       3.0816e-06        2.0368e-08  
        0.72265       3.2545e-06        2.1624e-08  
        0.72439       3.4365e-06        2.2953e-08  
        0.72612       3.6281e-06         2.436e-08  
        0.72787       3.8297e-06        2.5848e-08  
        0.72961       4.0418e-06        2.7423e-08  
        0.73136        4.265e-06        2.9089e-08  
        0.73312       4.4997e-06        3.0851e-08  
        0.73487       4.7465e-06        3.2715e-08  
        0.73664        5.006e-06        3.4685e-08  
         0.7384       5.2788e-06        3.6767e-08  
        0.74018       5.5656e-06        3.8969e-08  
        0.74195        5.867e-06        4.1295e-08  
        0.74373       6.1836e-06        4.3753e-08  
