#stdev pdf cdf
#  x      p(x)     cdf(x) 
       0.079963       5.6433e-06        9.9485e-08  
       0.080224       6.4552e-06        1.1504e-07  
       0.080486       7.3726e-06        1.3281e-07  
       0.080748       8.4075e-06         1.531e-07  
       0.081009       9.5734e-06        1.7622e-07  
       0.081271       1.0885e-05        2.0251e-07  
       0.081532       1.2358e-05        2.3239e-07  
       0.081794        1.401e-05        2.6629e-07  
       0.082056        1.586e-05        3.0469e-07  
       0.082317        1.793e-05        3.4813e-07  
       0.082579       2.0241e-05         3.972e-07  
        0.08284        2.282e-05        4.5256e-07  
       0.083102       2.5692e-05        5.1492e-07  
       0.083364       2.8887e-05        5.8508e-07  
       0.083625       3.2437e-05        6.6392e-07  
       0.083887       3.6376e-05        7.5238e-07  
       0.084148       4.0741e-05        8.5152e-07  
        0.08441       4.5572e-05        9.6248e-07  
       0.084672       5.0913e-05        1.0865e-06  
       0.084933       5.6809e-05         1.225e-06  
       0.085195       6.3312e-05        1.3794e-06  
       0.085456       7.0474e-05        1.5514e-06  
       0.085718       7.8353e-05        1.7427e-06  
        0.08598       8.7011e-05        1.9553e-06  
       0.086241       9.6515e-05        2.1912e-06  
       0.086503       0.00010693        2.4528e-06  
       0.086764       0.00011835        2.7424e-06  
       0.087026       0.00013083        3.0627e-06  
       0.087288       0.00014447        3.4166e-06  
       0.087549       0.00015936        3.8072e-06  
       0.087811        0.0001756        4.2378e-06  
       0.088072       0.00019328         4.712e-06  
       0.088334       0.00021253        5.2337e-06  
       0.088596       0.00023345         5.807e-06  
       0.088857       0.00025617        6.4365e-06  
       0.089119       0.00028082        7.1268e-06  
        0.08938       0.00030754        7.8832e-06  
       0.089642       0.00033646        8.7111e-06  
       0.089904       0.00036775        9.6164e-06  
       0.090165       0.00040156        1.0605e-05  
       0.090427       0.00043807        1.1685e-05  
       0.090688       0.00047745        1.2862e-05  
        0.09095       0.00051989        1.4144e-05  
       0.091212       0.00056559        1.5539e-05  
       0.091473       0.00061474        1.7057e-05  
       0.091735       0.00066758        1.8705e-05  
       0.091996       0.00072432        2.0494e-05  
       0.092258       0.00078519        2.2435e-05  
        0.09252       0.00085045        2.4538e-05  
       0.092781       0.00092035        2.6814e-05  
       0.093043       0.00099517        2.9277e-05  
       0.093304        0.0010752        3.1938e-05  
       0.093566        0.0011606        3.4812e-05  
       0.093828        0.0012519        3.7914e-05  
       0.094089        0.0013493        4.1258e-05  
       0.094351         0.001453         4.486e-05  
       0.094612        0.0015636        4.8738e-05  
       0.094874        0.0016812         5.291e-05  
       0.095136        0.0018063        5.7393e-05  
       0.095397        0.0019393        6.2208e-05  
       0.095659        0.0020805        6.7376e-05  
        0.09592        0.0022303        7.2918e-05  
       0.096182        0.0023892        7.8856e-05  
       0.096444        0.0025575        8.5215e-05  
       0.096705        0.0027358         9.202e-05  
       0.096967        0.0029244        9.9297e-05  
       0.097228        0.0031238        0.00010707  
        0.09749        0.0033346        0.00011537  
       0.097752        0.0035571        0.00012423  
       0.098013         0.003792        0.00013368  
       0.098275        0.0040396        0.00014375  
       0.098536        0.0043006        0.00015447  
       0.098798        0.0045755        0.00016588  
        0.09906        0.0048648        0.00017802  
       0.099321        0.0051691        0.00019092  
       0.099583         0.005489        0.00020462  
       0.099844         0.005825        0.00021916  
        0.10011        0.0061778        0.00023459  
        0.10037         0.006548        0.00025095  
        0.10063        0.0069362        0.00026829  
        0.10089        0.0073431        0.00028664  
        0.10115        0.0077692        0.00030607  
        0.10141        0.0082153        0.00032662  
        0.10168         0.008682        0.00034834  
        0.10194          0.00917        0.00037129  
         0.1022        0.0096799        0.00039552  
        0.10246         0.010213         0.0004211  
        0.10272         0.010768        0.00044807  
        0.10298         0.011349         0.0004765  
        0.10325         0.011953        0.00050646  
        0.10351         0.012584          0.000538  
        0.10377          0.01324         0.0005712  
        0.10403         0.013924        0.00060612  
        0.10429         0.014635        0.00064283  
        0.10455         0.015375        0.00068141  
        0.10481         0.016144        0.00072193  
        0.10508         0.016943        0.00076446  
        0.10534         0.017773        0.00080909  
         0.1056         0.018634        0.00085589  
        0.10586         0.019527        0.00090495  
        0.10612         0.020454        0.00095635  
        0.10638         0.021414         0.0010102  
        0.10665         0.022409         0.0010665  
        0.10691         0.023439         0.0011254  
        0.10717         0.024505         0.0011871  
        0.10743         0.025608         0.0012515  
        0.10769         0.026749         0.0013188  
        0.10795         0.027928         0.0013891  
        0.10822         0.029146         0.0014625  
        0.10848         0.030404          0.001539  
        0.10874         0.031703         0.0016189  
          0.109         0.033043         0.0017021  
        0.10926         0.034424         0.0017888  
        0.10952         0.035849         0.0018792  
        0.10979         0.037317         0.0019732  
        0.11005          0.03883         0.0020711  
        0.11031         0.040387          0.002173  
        0.11057          0.04199         0.0022789  
        0.11083         0.043639         0.0023889  
        0.11109         0.045335         0.0025033  
        0.11135         0.047079         0.0026221  
        0.11162         0.048871         0.0027455  
        0.11188         0.050711         0.0028735  
        0.11214         0.052601         0.0030063  
         0.1124         0.054541          0.003144  
        0.11266         0.056532         0.0032868  
        0.11292         0.058574         0.0034348  
        0.11319         0.060667         0.0035881  
