#tau pdf cdf
#  x      p(x)     cdf(x) 
         24.348       4.6597e-05           0.99998  
         25.078       3.2078e-05           0.99998  
          25.83       2.2164e-05           0.99999  
         26.605        1.537e-05           0.99999  
         27.402         1.07e-05           0.99999  
         28.224       7.4764e-06                 1  
          29.07       5.2441e-06                 1  
         29.942       3.6924e-06                 1  
         30.839       2.6098e-06                 1  
         31.764       1.8516e-06                 1  
         32.716       1.3186e-06                 1  
         33.697       9.4256e-07                 1  
         34.707       6.7625e-07                 1  
         35.748       4.8696e-07                 1  
          36.82       3.5192e-07                 1  
         37.924       2.5524e-07                 1  
         39.061       1.8576e-07                 1  
         40.232       1.3567e-07                 1  
         41.438       9.9422e-08                 1  
          42.68       7.3103e-08                 1  
          43.96       5.3929e-08                 1  
         45.278       3.9912e-08                 1  
         46.635       2.9633e-08                 1  
         48.034        2.207e-08                 1  
         49.474       1.6488e-08                 1  
         50.957       1.2355e-08                 1  
         52.485       9.2849e-09                 1  
         54.058       6.9982e-09                 1  
         55.679       5.2898e-09                 1  
         57.348       4.0096e-09                 1  
         59.068       3.0476e-09                 1  
         60.838       2.3227e-09                 1  
         62.663       1.7749e-09                 1  
         64.541       1.3598e-09                 1  
         66.476       1.0444e-09                 1  
         68.469       8.0423e-10                 1  
         70.522       6.2079e-10                 1  
         72.636       4.8034e-10                 1  
         74.814       3.7255e-10                 1  
         77.057       2.8962e-10                 1  
         79.367       2.2566e-10                 1  
         81.747       1.7622e-10                 1  
         84.198       1.3792e-10                 1  
         86.722       1.0817e-10                 1  
         89.322        8.502e-11                 1  
             92       6.6963e-11                 1  
