#tau pdf cdf
#  x      p(x)     cdf(x) 
            1.5       1.7059e-09                 0  
         1.5344       1.9057e-09        2.2157e-12  
         1.5696       2.1282e-09        4.7473e-12  
         1.6056       2.3759e-09        7.6388e-12  
         1.6424       2.6516e-09         1.094e-11  
         1.6801       2.9585e-09        1.4709e-11  
         1.7187       3.2999e-09         1.901e-11  
         1.7581       3.6797e-09        2.3916e-11  
         1.7984       4.1022e-09        2.9512e-11  
         1.8397       4.5722e-09        3.5892e-11  
         1.8819       5.0948e-09        4.3166e-11  
         1.9251        5.676e-09        5.1456e-11  
         1.9692       6.3223e-09        6.0903e-11  
         2.0144       7.0409e-09        7.1666e-11  
         2.0606       7.8399e-09        8.3926e-11  
         2.1079       8.7284e-09         9.789e-11  
         2.1562       9.7164e-09        1.1379e-10  
         2.2057       1.0815e-08         1.319e-10  
         2.2563       1.2037e-08        1.5251e-10  
          2.308       1.3396e-08        1.7598e-10  
          2.361       1.4907e-08         2.027e-10  
         2.4152       1.6589e-08        2.3311e-10  
         2.4706        1.846e-08        2.6774e-10  
         2.5272       2.0543e-08        3.0715e-10  
         2.5852       2.2862e-08        3.5201e-10  
         2.6445       2.5444e-08        4.0309e-10  
         2.7052        2.832e-08        4.6124e-10  
         2.7672       3.1525e-08        5.2745e-10  
         2.8307       3.5097e-08        6.0286e-10  
         2.8957       3.9081e-08        6.8874e-10  
         2.9621       4.3525e-08        7.8657e-10  
           3.03       4.8486e-08        8.9804e-10  
         3.0995       5.4027e-08        1.0251e-09  
         3.1706       6.0217e-08        1.1699e-09  
         3.2434       6.7139e-08        1.3351e-09  
         3.3178       7.4882e-08        1.5235e-09  
         3.3939       8.3551e-08        1.7385e-09  
         3.4717       9.3264e-08        1.9839e-09  
         3.5514       1.0415e-07        2.2642e-09  
         3.6329       1.1637e-07        2.5845e-09  
         3.7162        1.301e-07        2.9508e-09  
         3.8014       1.4552e-07        3.3697e-09  
         3.8887       1.6288e-07        3.8492e-09  
         3.9779       1.8243e-07        4.3984e-09  
         4.0691       2.0448e-07        5.0279e-09  
         4.1625       2.2937e-07        5.7499e-09  
         4.2579       2.5749e-07        6.5788e-09  
         4.3556       2.8932e-07         7.531e-09  
         4.4555       3.2537e-07        8.6261e-09  
         4.5577       3.6628e-07        9.8865e-09  
         4.6623       4.1276e-07        1.1339e-08  
         4.7693       4.6565e-07        1.3014e-08  
         4.8787       5.2591e-07        1.4948e-08  
         4.9906        5.947e-07        1.7184e-08  
         5.1051       6.7335e-07        1.9772e-08  
         5.2222       7.6343e-07        2.2772e-08  
          5.342       8.6678e-07        2.6254e-08  
         5.4645       9.8559e-07        3.0301e-08  
         5.5899       1.1224e-06        3.5013e-08  
         5.7181       1.2803e-06        4.0506e-08  
         5.8493        1.463e-06        4.6922e-08  
         5.9835       1.6746e-06        5.4428e-08  
         6.1207       1.9205e-06        6.3227e-08  
         6.2611       2.2068e-06        7.3559e-08  
         6.4048       2.5409e-06        8.5717e-08  
         6.5517       2.9317e-06        1.0005e-07  
          6.702       3.3901e-06        1.1699e-07  
         6.8557       3.9291e-06        1.3706e-07  
          7.013       4.5647e-06        1.6087e-07  
         7.1739       5.3161e-06        1.8921e-07  
         7.3384       6.2071e-06        2.2302e-07  
         7.5068       7.2665e-06        2.6346e-07  
          7.679         8.53e-06        3.1196e-07  
         7.8552       1.0041e-05        3.7029e-07  
         8.0354       1.1855e-05        4.4064e-07  
         8.2197       1.4039e-05        5.2574e-07  
         8.4082       1.6676e-05          6.29e-07  
         8.6011       1.9871e-05        7.5468e-07  
         8.7984       2.3755e-05        9.0815e-07  
         9.0003       2.8494e-05        1.0962e-06  
         9.2067       3.4294e-05        1.3273e-06  
         9.4179       4.1419e-05        1.6124e-06  
          9.634       5.0203e-05        1.9653e-06  
          9.855       6.1068e-05        2.4038e-06  
         10.081       7.4557e-05        2.9504e-06  
         10.312       9.1363e-05        3.6346e-06  
         10.549       0.00011238        4.4939e-06  
         10.791       0.00013874        5.5773e-06  
         11.038       0.00017194        6.9485e-06  
         11.292       0.00021388        8.6904e-06  
         11.551       0.00026705        1.0911e-05  
         11.816       0.00033468        1.3754e-05  
         12.087       0.00042096        1.7406e-05  
         12.364       0.00053136        2.2114e-05  
         12.648       0.00067304        2.8204e-05  
         12.938       0.00085534         3.611e-05  
         13.235        0.0010904        4.6406e-05  
         13.538        0.0013943        5.9856e-05  
         13.849        0.0017876        7.7475e-05  
         14.166        0.0022977        0.00010061  
         14.491        0.0029595        0.00013107  
         14.824         0.003819        0.00017125  
         15.164         0.004935        0.00022433  
         15.512        0.0063835        0.00029452  
         15.868        0.0082612        0.00038744  
         16.232         0.010691        0.00051043  
         16.604         0.013827         0.0006732  
         16.985          0.01786        0.00088839  
         17.374         0.023027         0.0011724  
         17.773          0.02961         0.0015465  
         18.181         0.037947         0.0020375  
         18.598          0.04843         0.0026798  
         19.024         0.061503          0.003516  
         19.461         0.077653         0.0045988  
         19.907         0.097396         0.0059921  
         20.364          0.12125         0.0077724  
         20.831          0.14971          0.010029  
         21.309          0.18317          0.012865  
         21.798          0.22193          0.016396  
         22.298           0.2661          0.020747  
         22.809          0.31556          0.026052  
         23.333          0.36991          0.032446  
         23.868          0.42848          0.040066  
         24.415           0.4903          0.049035  
         24.975          0.55414          0.059464  
         25.548          0.61858          0.071444  
         26.135          0.68205          0.085034  
         26.734          0.74297           0.10027  
         27.347          0.79981           0.11714  
         27.975          0.85119            0.1356  
         28.616          0.89595           0.15559  
         29.273          0.93321             0.177  
         29.944          0.96239            0.1997  
         30.631           0.9832           0.22352  
