72,0.274
296,0.274
537,0.277
356,0.277
70,0.278
295,0.283
45,0.284
237,0.292
286,0.295
283,0.302
896,0.303
456,0.303
895,0.304
74,0.304
573,0.305
698,0.306
75,0.306
318,0.306
731,0.307
415,0.307
651,0.308
357,0.309
166,0.309
710,0.311
634,0.311
706,0.311
668,0.312
445,0.313
87,0.314
275,0.314
707,0.318
89,0.319
726,0.322
716,0.322
673,0.323
626,0.326
815,0.327
822,0.328
720,0.329
868,0.33
812,0.33
759,0.333
502,0.334
659,0.336
874,0.337
274,0.337
702,0.338
388,0.339
795,0.339
104,0.342
692,0.342
818,0.344
787,0.345
739,0.346
867,0.347
477,0.349
798,0.349
777,0.351
345,0.351
500,0.352
340,0.352
689,0.354
700,0.355
886,0.355
254,0.356
743,0.357
872,0.36
732,0.361
794,0.361
293,0.362
826,0.362
176,0.363
555,0.364
742,0.365
737,0.366
206,0.367
1,0.369
803,0.372
696,0.374
652,0.375
378,0.376
793,0.376
682,0.377
733,0.379
551,0.381
14,0.381
238,0.381
32,0.382
769,0.383
51,0.385
738,0.385
79,0.387
837,0.387
813,0.392
195,0.394
724,0.394
301,0.396
845,0.397
547,0.4
740,0.4
631,0.409
741,0.413
98,0.414
325,0.415
321,0.415
203,0.419
363,0.42
264,0.42
229,0.421
833,0.423
42,0.432
827,0.433
197,0.436
669,0.438
111,0.44
291,0.442
373,0.443
636,0.451
328,0.451
294,0.456
253,0.456
174,0.459
508,0.461
26,0.464
265,0.466
116,0.468
156,0.468
50,0.472
239,0.482
333,0.485
0,0.485
728,0.493
305,0.515
858,0.52
679,0.524
270,0.547
658,0.55
93,0.55
586,0.555
877,0.555
392,0.557
96,0.558
379,0.559
46,0.559
231,0.56
326,0.565
582,0.567
77,0.568
342,0.569
287,0.569
78,0.57
193,0.571
102,0.575
736,0.585
108,0.587
688,0.587
857,0.588
680,0.589
113,0.589
198,0.589
809,0.591
145,0.592
584,0.592
439,0.604
894,0.606
211,0.608
893,0.61
883,0.611
727,0.613
57,0.614
875,0.615
178,0.62
666,0.62
766,0.622
410,0.627
488,0.629
580,0.639
134,0.639
418,0.642
298,0.651
617,0.653
781,0.657
297,0.658
121,0.661
699,0.664
637,0.665
713,0.666
24,0.667
889,0.67
892,0.67
91,0.672
43,0.68
266,0.682
887,0.683
123,0.686
389,0.686
881,0.687
380,0.69
81,0.693
496,0.706
825,0.707
835,0.707
782,0.708
228,0.709
224,0.712
140,0.719
693,0.721
362,0.73
126,0.733
684,0.741
393,0.743
512,0.744
149,0.746
269,0.747
112,0.748
53,0.748
130,0.757
218,0.759
258,0.759
255,0.76
492,0.764
355,0.767
850,0.768
791,0.769
543,0.774
783,0.774
422,0.784
847,0.785
567,0.788
764,0.793
676,0.804
216,0.805
885,0.805
233,0.811
25,0.82
15,0.821
58,0.821
562,0.823
55,0.825
127,0.829
834,0.835
276,0.836
213,0.838
695,0.838
490,0.841
860,0.847
94,0.851
47,0.853
890,0.855
118,0.856
268,0.861
645,0.863
487,0.864
350,0.868
335,0.873
623,0.875
207,0.882
202,0.884
486,0.884
730,0.902
568,0.903
779,0.906
69,0.907
223,0.91
125,0.912
135,0.92
593,0.92
417,0.925
302,0.925
186,0.926
331,0.926
576,0.929
525,0.93
246,0.93
564,0.93
734,0.934
701,0.94
644,0.943
214,0.949
300,0.949
161,0.95
281,0.953
312,0.953
503,0.954
92,0.955
23,0.957
67,0.961
545,0.965
2,0.968
548,0.97
39,0.971
106,0.974
86,0.975
71,0.979
625,0.98
172,0.98
762,0.981
499,0.981
196,0.983
401,0.986
110,0.986
308,0.991
533,0.993
788,0.995
136,1.0
416,1.007
31,1.011
10,1.016
708,1.017
409,1.02
717,1.023
480,1.031
690,1.032
261,1.032
627,1.035
685,1.038
215,1.049
831,1.05
221,1.056
128,1.058
182,1.066
754,1.066
802,1.07
869,1.074
767,1.079
243,1.082
330,1.083
821,1.089
181,1.092
776,1.092
425,1.094
367,1.099
665,1.101
150,1.103
648,1.105
153,1.107
56,1.109
864,1.11
73,1.114
304,1.114
455,1.117
756,1.117
205,1.12
329,1.123
476,1.125
840,1.127
765,1.129
383,1.133
792,1.14
219,1.14
76,1.147
638,1.152
616,1.159
256,1.161
346,1.162
245,1.168
434,1.17
553,1.179
686,1.195
852,1.195
650,1.202
65,1.204
332,1.205
816,1.214
775,1.215
323,1.215
334,1.215
403,1.225
572,1.228
671,1.23
262,1.233
399,1.236
823,1.24
184,1.241
461,1.244
158,1.255
6,1.257
408,1.257
63,1.263
474,1.263
444,1.264
142,1.269
248,1.271
167,1.274
54,1.275
538,1.277
419,1.279
799,1.28
677,1.287
531,1.287
390,1.288
876,1.288
598,1.289
387,1.293
117,1.296
368,1.298
800,1.3
661,1.3
519,1.301
846,1.303
457,1.309
675,1.313
656,1.314
805,1.314
620,1.329
16,1.337
873,1.337
561,1.343
807,1.343
481,1.366
347,1.371
774,1.371
820,1.376
583,1.38
27,1.381
407,1.383
757,1.384
856,1.389
454,1.389
132,1.396
280,1.409
497,1.414
114,1.415
365,1.419
400,1.437
697,1.44
660,1.443
348,1.445
824,1.461
210,1.461
678,1.474
773,1.475
712,1.478
891,1.486
272,1.491
103,1.492
138,1.493
615,1.502
170,1.503
718,1.503
587,1.504
466,1.528
804,1.538
277,1.542
448,1.544
66,1.545
375,1.55
629,1.612
574,1.626
745,1.644
148,1.698
212,1.703
599,1.736
61,1.739
436,1.776
120,1.8
41,1.823
18,1.867
152,1.955
52,1.959
351,2.022
372,2.024
515,2.032
115,2.089
60,2.098
273,2.12
443,2.125
299,2.137
556,2.138
133,2.154
165,2.215
162,2.244
19,2.262
431,2.298
11,2.305
109,2.334
90,2.336
282,2.337
540,2.403
473,2.424
84,2.463
209,2.495
80,2.497
48,2.498
241,2.545
257,2.601
719,2.614
369,2.624
83,2.653
185,2.665
44,2.672
485,2.694
99,2.761
5,2.796
88,2.812
832,2.812
288,2.816
384,2.829
558,2.834
412,2.84
139,2.852
33,2.867
494,2.871
20,2.882
82,2.912
7,2.973
29,3.045
359,3.059
292,3.074
705,3.083
